author,ID,citation,title,year,source,doi,link,remarks
Clench H. K.,2789,"Clench H. K., 1959a, Notes on African Cossidae. vol 6 issue  pages 1–27",Notes on African Cossidae.,1959,,,https://www.biodiversitylibrary.org/page/28028877,
Daniel F.,2791,"Daniel F., 1956b, Eine neue afrikanische Cosside (Lep.). vol 46 issue  pages 289–290, pl. 11",Eine neue afrikanische Cosside (Lep.).,1956,,,https://www.biodiversitylibrary.org/page/29017245,
Darge Ph.,2792,"Darge Ph., 1983, Liste provisoire des Sphingidae du Cameroun (Lep.). vol 87 (1982) issue 9–10 pages 377–381",Liste provisoire des Sphingidae du Cameroun (Lep.).,1983,,,https://www.persee.fr/doc/bsef_0037-928x_1982_num_87_9_18056,
Darge Ph.,2793,"Darge Ph., 1991, Lepidopères Sphingidae des îles du Golfe de Guinée. vol 1991 issue 4 pages 62–64",Lepidopères Sphingidae des îles du Golfe de Guinée.,1991,,,,
Darge Ph.,2794,"Darge Ph., 1993c, Compléments à la connaissance du complex de Pseudoclanis postica (Walker) (Lepidoptera, Sphingidae). vol 93 issue 3 pages 321–325","Compléments à la connaissance du complex de Pseudoclanis postica (Walker) (Lepidoptera, Sphingidae).",1993,,,,
Darge Ph.,2795,"Darge Ph., 2005a, Une nouvelle espèce du complex de Pseudoclanis postica (Walker, 1856), originaire de Tanzanie (Lepidoptera, Sphingidae). vol 10 issue 2 pages 43–46, pl. 7","Une nouvelle espèce du complex de Pseudoclanis postica (Walker, 1856), originaire de Tanzanie (Lepidoptera, Sphingidae).",2005,,,,
Eitschberger U.,2796,"Eitschberger U., 1999c, Der Madagassische Linienschwärmer Hyles (Danneria) malgassica (Denso, 1944). 4. Ergänzung zu ""Die Schwärmer der westlichen Paläarktis"" (Danner, Eitschberger & Surholt, 1998) (Lepidoptera, Sphingidae). vol 30 issue 1–4 pages 169–173","Der Madagassische Linienschwärmer Hyles (Danneria) malgassica (Denso, 1944). 4. Ergänzung zu ""Die Schwärmer der westlichen Paläarktis"" (Danner, Eitschberger & Surholt, 1998) (Lepidoptera, Sphingidae).",1999,,,https://www.zobodat.at/pdf/Atalanta_30_0169-0173.pdf,
Eitschberger U. & Surholt B.,2797,"Eitschberger U. & Surholt B., 1999, Die Arten des Subgenus Danneria Eitschberger & Zolotuhin, 1998 in der Gattung Hyles Hübner, [1819]. 1. Ergänzung zu ""Die Schwärmer des westlichen Paläarktis"" (Danner, Eitschberger & Surholt) (Lepidoptera, Sphingidae). vol 29 issue 1–4 pages 13–24, pl. 1","Die Arten des Subgenus Danneria Eitschberger & Zolotuhin, 1998 in der Gattung Hyles Hübner, [1819]. 1. Ergänzung zu ""Die Schwärmer des westlichen Paläarktis"" (Danner, Eitschberger & Surholt) (Lepidoptera, Sphingidae).",1999,,,,
Pierre J.,2798,"Pierre J., 1985, Trois nouvelles espèces de Sphinx africains (Lepidoptera, Sphingidae). vol 7 issue 1 pages 27–31","Trois nouvelles espèces de Sphinx africains (Lepidoptera, Sphingidae).",1985,,,,
Pierre J.,2799,"Pierre J., 1992, Spéciation et évolution chez les Sphinx du genre Pseudoclanis Rothschild (Lepidoptera, Sphingidae). vol 97 issue 3 pages 281–296","Spéciation et évolution chez les Sphinx du genre Pseudoclanis Rothschild (Lepidoptera, Sphingidae).",1992,,,https://www.persee.fr/doc/bsef_0037-928x_1992_num_97_3_17814,
Wagner H.,2800,"Wagner H., 1913, Sphingidae: Subfam. Acherontiinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus. vol 12 issue  pages 1–77","Sphingidae: Subfam. Acherontiinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus.",1913,,,https://www.biodiversitylibrary.org/page/54974177,
Wagner H.,2801,"Wagner H., 1914, Sphingidae: Subfam. Ambulicinae, Sesiinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus. vol 18 issue  pages 77–220","Sphingidae: Subfam. Ambulicinae, Sesiinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus.",1914,,,https://www.biodiversitylibrary.org/page/44534923,
Wagner H.,2802,"Wagner H., 1915, Sphingidae: Subfam. Philampelinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus. vol 21 issue  pages 221–304","Sphingidae: Subfam. Philampelinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus.",1915,,,https://www.biodiversitylibrary.org/page/44550011,
Wagner H.,2803,"Wagner H., 1919, Sphingidae: Subfam. Choerocampinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus. vol 23 issue  pages 306–440","Sphingidae: Subfam. Choerocampinae. – In: Aurivillius, C. & Wagner, H. (eds.), Lepidopterorum Catalogus.",1919,,,https://www.biodiversitylibrary.org/page/44550519,
"Vuattoux R., Pierre J. & Haxaire J.",2804,"Vuattoux R., Pierre J. & Haxaire J., 1989, Les Sphinx de Côte-d'Ivoire, avec des données nouvelles sur les élevages effectués à la Station écologique de Lamto (Lep. Sphingidae). vol 93 (1988) issue 7–8 pages 239–255","Les Sphinx de Côte-d'Ivoire, avec des données nouvelles sur les élevages effectués à la Station écologique de Lamto (Lep. Sphingidae).",1989,,,https://www.persee.fr/doc/bsef_0037-928x_1988_num_93_7_17560,
Darge Ph.,2839,"Darge Ph., 2009b, Deux nouvelles espèces affines de Nudaurelia myrtea Rebel, 1917, provenant des forêts pluviales d'altitude de Tanzanie (Lepidoptera, Saturniidae, Saturniinae, Bunaeini). vol 4 issue  pages 9–22","Deux nouvelles espèces affines de Nudaurelia myrtea Rebel, 1917, provenant des forêts pluviales d'altitude de Tanzanie (Lepidoptera, Saturniidae, Saturniinae, Bunaeini).",2009,,,,
Klug J. C. F.,2805,"Klug J. C. F., 1829–1845, Symbolae physicae seu icones et descriptiones insectorum quae ex itinere per Africa borealem et Asiam occidentalem Friederici Guilelmi Hemprich et Christiani, Godofredi Ehrenberg medicine et chirurgiae doctorum studio novae aut illustratae redierunt. vol  issue  pages ","Symbolae physicae seu icones et descriptiones insectorum quae ex itinere per Africa borealem et Asiam occidentalem Friederici Guilelmi Hemprich et Christiani, Godofredi Ehrenberg medicine et chirurgiae doctorum studio novae aut illustratae redierunt.",1829,,,,
Hartig F. G.,2806,"Hartig F. G., 1940a, Tre nuove specie di Bombyces africani. vol 79 issue 2 pages 149–152",Tre nuove specie di Bombyces africani.,1940,,,https://www.biodiversitylibrary.org/page/57876486,
Watson A.,2807,"Watson A., 1989, A review of Spilosoma-like Afrotropical tiger-moths (Lepidoptera: Arctiidae). vol 19 issue 1 pages 251–291",A review of Spilosoma-like Afrotropical tiger-moths (Lepidoptera: Arctiidae).,1989,,,,
Darge Ph.,2808,"Darge Ph., 2008a, Contribution to the biodiversity of the Albertine Rift in Tanzania: some data on the Lepidoptera Saturniidae and Sphingidae. vol 1 issue  pages 4–15",Contribution to the biodiversity of the Albertine Rift in Tanzania: some data on the Lepidoptera Saturniidae and Sphingidae.,2008,,,,
Darge Ph.,2809,"Darge Ph., 2008b, Description de nouveaux Saturnides d'Afrique orientale et centrale (Lepidoptera, Saturniidae). vol 1 issue  pages 16–23","Description de nouveaux Saturnides d'Afrique orientale et centrale (Lepidoptera, Saturniidae).",2008,,,,
Darge Ph.,2810,"Darge Ph., 2008c, A provisional checklist of the Saturniidae (Emperor Moths) of Tanzania (Lepidoptera, Saturniidae). vol 1 issue  pages 25–30","A provisional checklist of the Saturniidae (Emperor Moths) of Tanzania (Lepidoptera, Saturniidae).",2008,,,,
Baldizzone G. & van der Wolf H. W.,2811,"Baldizzone G. & van der Wolf H. W., 2005, New species of Coleophora (Lepidoptera) from Katanga, Central Africa. vol 112 issue 1 pages 65–82","New species of Coleophora (Lepidoptera) from Katanga, Central Africa.",2005,,,https://www.biodiversitylibrary.org/page/41187881,
Darge Ph.,2812,"Darge Ph., 2008d, Démembrement du genre Goodia Holland et description de Yatanga nouveau genre (Lepidoptera, Saturniidae, Saturniinae, Micragonini). vol 2 issue  pages 11–18","Démembrement du genre Goodia Holland et description de Yatanga nouveau genre (Lepidoptera, Saturniidae, Saturniinae, Micragonini).",2008,,,,
Darge Ph.,2813,"Darge Ph., 2008e, Note sur les Campimoptilum du complexe de C. hollandi (Butler, 1898, avec description du mâle de C. boulardi (Rougeot), 1974 et de deux espèces nouvelles. vol 2 issue  pages 19–22","Note sur les Campimoptilum du complexe de C. hollandi (Butler, 1898, avec description du mâle de C. boulardi (Rougeot), 1974 et de deux espèces nouvelles.",2008,,,,
Darge Ph.,2814,"Darge Ph., 2008f, Une nouvelle espèce de Goodia originaire du Congo Brazzaville (Lepidoptera, Saturniidae, Saturniinae, Micragonini). vol 2 issue  pages 23–24","Une nouvelle espèce de Goodia originaire du Congo Brazzaville (Lepidoptera, Saturniidae, Saturniinae, Micragonini).",2008,,,,
Darge Ph.,2815,"Darge Ph., 2008g, Etude du complexe de Tagaropsis ikondae Rougeot, 1973, avec description d'un genre nouveau et de nouvelles espèces dans ce genre (Lepidoptera, Saturniidae, Saturniinae). vol 2 issue  pages 27–39","Etude du complexe de Tagaropsis ikondae Rougeot, 1973, avec description d'un genre nouveau et de nouvelles espèces dans ce genre (Lepidoptera, Saturniidae, Saturniinae).",2008,,,,
Bouvier E. L.,2816,"Bouvier E. L., 1936, Etude des Saturnioïdes normaux. Famille des Saturniidés. vol 3 issue  pages 1–354, pls 1–12",Etude des Saturnioïdes normaux. Famille des Saturniidés.,1936,,,https://www.biodiversitylibrary.org/page/59359217,
Cooper M. R. & Cooper M. D.,2817,"Cooper M. R. & Cooper M. D., 2002, The emperor moths of KwaZulu-Natal. vol  issue  pages 1–103",The emperor moths of KwaZulu-Natal.,2002,,,,
Darge Ph.,2818,"Darge Ph., 1977, Note sur les Goodia de République Unie de Cameroun (Lépidoptères Attacidae). vol 1 issue 2 pages 95–101, pls 1–2",Note sur les Goodia de République Unie de Cameroun (Lépidoptères Attacidae).,1977,,,,
Darge Ph.,2819,"Darge Ph., 1995b, Saturniidae. Catalogue commenté et illustré des Lépidoptères Saturniidae de l'Afrique du Centre et de l'Ouest, avec des renseignements sur les espèces des autres régions de l'Afrique continentale. vol 1 issue  pages 1–165, pls 1–13","Saturniidae. Catalogue commenté et illustré des Lépidoptères Saturniidae de l'Afrique du Centre et de l'Ouest, avec des renseignements sur les espèces des autres régions de l'Afrique continentale.",1995,,,,
Darge Ph.,2820,"Darge Ph., 2003, Saturniidae. Catalogue commenté et illustré des Lépidoptères Saturniidae de l'Afrique du Centre et de l'Ouest, avec des renseignements sur les espèces des autres régions de l'Afrique continentale. vol 2 issue  pages 167–275, pls 14–21","Saturniidae. Catalogue commenté et illustré des Lépidoptères Saturniidae de l'Afrique du Centre et de l'Ouest, avec des renseignements sur les espèces des autres régions de l'Afrique continentale.",2003,,,,
Rougeot P.-C.,2821,"Rougeot P.-C., 1974c, Lépidoptères Attacidae et Brahmaeidae du Kenya (mission Michel Boulard). vol 72–73 issue 9–10 pages 78–80",Lépidoptères Attacidae et Brahmaeidae du Kenya (mission Michel Boulard).,1974,,,,
Rougeot P.-C.,2822,"Rougeot P.-C., 1977b, Description de Lépidoptères Attacidae éthiopiens inédits. vol 82 issue 3–4 pages 92–96",Description de Lépidoptères Attacidae éthiopiens inédits.,1977,,,https://www.persee.fr/doc/bsef_0037-928x_1977_num_82_3_21579,
"Alipanah H., Sari A., Sarafrazi A., Gielis C. & Manzari S.",2823,"Alipanah H., Sari A., Sarafrazi A., Gielis C. & Manzari S., 2010, Key to the genera of Oxyptilini (Lepidoptera: Pterophoridae: Pterophorinae), with descriptions of two new genera. vol 2693 issue  pages 21–34","Key to the genera of Oxyptilini (Lepidoptera: Pterophoridae: Pterophorinae), with descriptions of two new genera.",2010,,,,
Gielis C.,2824,"Gielis C., 2009a, Nomenclature changes in Afrotropical Pterophoridae (Lepidoptera). vol 37 issue 2 pages 74",Nomenclature changes in Afrotropical Pterophoridae (Lepidoptera).,2009,,,https://www.biodiversitylibrary.org/page/49123605,
Rougeot P.-C.,2825,"Rougeot P.-C., 1974a, Sur deux nouvelles espèces d'Attacides d'Afrique orientale (Lep. Attacidae). vol 78 (1973) issue 11–12 pages 334–336",Sur deux nouvelles espèces d'Attacides d'Afrique orientale (Lep. Attacidae).,1974,,,https://www.persee.fr/doc/bsef_0037-928x_1973_num_78_9_21353,
Darge Ph. & Kilumile W.,2826,"Darge Ph. & Kilumile W., 2002, Contribution to the study of the entomological fauna of Tanzania (5th Contribution): emperor moths and hawk moths of the mountain exosystems of Mount Rungwe in South Tanzania (Insecta, Lepidoptera, Saturniidae & Sphingidae). vol 19 issue 2 pages 191–192","Contribution to the study of the entomological fauna of Tanzania (5th Contribution): emperor moths and hawk moths of the mountain exosystems of Mount Rungwe in South Tanzania (Insecta, Lepidoptera, Saturniidae & Sphingidae).",2002,,,,
Darge Ph. & Basquin P.,2827,"Darge Ph. & Basquin P., 2008, Apport de l'ADN mitochondrial à l'étude de la spéciation chez les Lepidoptères tropicaux: nouvelles données sur le complexe de Chaerocina dohertyi Rothschild et Jordan, 1903 (Lepidoptera, Sphingidae). vol 13 issue 1 pages 23–32","Apport de l'ADN mitochondrial à l'étude de la spéciation chez les Lepidoptères tropicaux: nouvelles données sur le complexe de Chaerocina dohertyi Rothschild et Jordan, 1903 (Lepidoptera, Sphingidae).",2008,,,,
Plante J.,2828,"Plante J., 1997, Quatre espèces nouvelles de Caradrininae d'Arabie (Lepidoptera Noctuidae Caradrininae). vol 20 issue 2 pages 75–80",Quatre espèces nouvelles de Caradrininae d'Arabie (Lepidoptera Noctuidae Caradrininae).,1997,,,,
Bassi G.,2829,"Bassi G., 1999b, Notes on Pseudocatharylla Bleszynski, 1961 (Lepidoptera: Crambidae: Crambinae) with a description of new genera and new species. vol 16 issue 1–2 pages 151–188","Notes on Pseudocatharylla Bleszynski, 1961 (Lepidoptera: Crambidae: Crambinae) with a description of new genera and new species.",1999,,,,
Bassi G.,2830,"Bassi G., 1995, Contributi allo studio delle Crambinae (Lepidoptera: Crambidae). IX. Note sui generi Sebrus Bleszynski e Alphacrambus nov., con descrizione di nuove specie. vol 102 issue 3 pages 615–627","Contributi allo studio delle Crambinae (Lepidoptera: Crambidae). IX. Note sui generi Sebrus Bleszynski e Alphacrambus nov., con descrizione di nuove specie.",1995,,,https://www.biodiversitylibrary.org/page/41264655,
Darge Ph.,2831,"Darge Ph., 2008h, Considérations sur le genre Gynanisa Walker, 1855, avec description d'espèces nouvelles (Lepidoptera, Saturniidae, Saturniinae, Bunaeini). vol 3 issue  pages 2–12, pls A–F","Considérations sur le genre Gynanisa Walker, 1855, avec description d'espèces nouvelles (Lepidoptera, Saturniidae, Saturniinae, Bunaeini).",2008,,,,
Darge Ph.,2832,"Darge Ph., 2008i, Deux nouveaux Adafroptilum d'Afrique australe (Lepidoptera, Saturniidae, Saturniinae, Micragonini). vol 3 issue  pages 13–15, pl. G","Deux nouveaux Adafroptilum d'Afrique australe (Lepidoptera, Saturniidae, Saturniinae, Micragonini).",2008,,,,
Darge Ph.,2833,"Darge Ph., 2004b, Adafroptilum, nouveau nom pour Afroptilum Darge, 2003 (Lepidoptera, Saturniidae). vol 60 issue 1 pages 12","Adafroptilum, nouveau nom pour Afroptilum Darge, 2003 (Lepidoptera, Saturniidae).",2004,,,,
Darge Ph.,2834,"Darge Ph., 2006c, Deux nouveaux Adafroptilum originaires de Tanzanie et du Malawi (Lepidoptera, Saturniidae). vol 106 issue 4 pages 726–729","Deux nouveaux Adafroptilum originaires de Tanzanie et du Malawi (Lepidoptera, Saturniidae).",2006,,,,
Rougerie R.,2835,"Rougerie R., 2005, Phylogénie et biogéographie des Saturniidae (Lepidoptera: Bombycoidea, Saturniidae). Approche morphologique et molécularie. vol  issue  pages 1–530, pls 1–4","Phylogénie et biogéographie des Saturniidae (Lepidoptera: Bombycoidea, Saturniidae). Approche morphologique et molécularie.",2005,,,,
Błeszyński S.,2836,"Błeszyński S., 1963c, Studies on the Crambidae (Lepidoptera). Part 41. On some tropical Crambidae with descriptions of new genera and species. vol 8 issue 3a pages 133–181, pls 6–10",Studies on the Crambidae (Lepidoptera). Part 41. On some tropical Crambidae with descriptions of new genera and species.,1963,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/08/8_04.pdf,
Bassi G.,2837,"Bassi G., 1994, Contributi allo studio delle Crambinae (Lepidoptera: Crambidae). VIII. Note sul genere Caffocrambus [sic] Bleszynski, con descrizione di nuove specie. vol 12 issue 2 pages 367–379","Contributi allo studio delle Crambinae (Lepidoptera: Crambidae). VIII. Note sul genere Caffocrambus [sic] Bleszynski, con descrizione di nuove specie.",1994,,,,
Darge Ph.,2838,"Darge Ph., 2009a, Contribution to the fauna of the West Usambara Mountains: Lepidoptera Saturniidae and Sphingidae of the Magamba Forest complex, a hotspot of biodiversity and endemism in Tanzania. vol 4 issue  pages 2–8","Contribution to the fauna of the West Usambara Mountains: Lepidoptera Saturniidae and Sphingidae of the Magamba Forest complex, a hotspot of biodiversity and endemism in Tanzania.",2009,,,,
Darge Ph.,2840,"Darge Ph., 2009c, Temnora masungai, nouvelle espèce de sphingide originaire de la forêt pluviale d'altitude dans l'Eastern Arc tanzanien. vol 4 issue  pages 23–27","Temnora masungai, nouvelle espèce de sphingide originaire de la forêt pluviale d'altitude dans l'Eastern Arc tanzanien.",2009,,,,
Rougeot P.-C.,2841,"Rougeot P.-C., 1974b, Lépidoptères Attacidae inédits d'Afrique orientale. vol 10 issue 3 pages 561–563",Lépidoptères Attacidae inédits d'Afrique orientale.,1974,,,https://gallica.bnf.fr/ark:/12148/bpt6k6127723k/f74.image,
Cadiou J.-M.,2842,"Cadiou J.-M., 1997, Three new taxa in the family Sphingidae (Lepidoptera). vol 2 issue 1 pages 6–16",Three new taxa in the family Sphingidae (Lepidoptera).,1997,,,,
Mitchell M. N.,2843,"Mitchell M. N., 1975, Annotated check-list of Zambian Hawk-Moths (Lepidoptera, Sphingidae). vol 4 issue  pages 59–103","Annotated check-list of Zambian Hawk-Moths (Lepidoptera, Sphingidae).",1975,,,,
Darge Ph.,2844,"Darge Ph., 2009d, Description de nouveaux Pseudobunaea orophiles des montagnes de Tanzanie (Lepidoptera, Saturniidae). vol 5 issue  pages 2–31, pls. A–H","Description de nouveaux Pseudobunaea orophiles des montagnes de Tanzanie (Lepidoptera, Saturniidae).",2009,,,,
Darge Ph.,2845,"Darge Ph., 2009e, Tanzanie: deux nouveaux Nudaurelia de l'est du Mont Kilimanjaro (Lepidoptera: Saturniidae). vol 5 issue  pages 32–37, pls H–J",Tanzanie: deux nouveaux Nudaurelia de l'est du Mont Kilimanjaro (Lepidoptera: Saturniidae).,2009,,,,
Bouyer Th.,2846,"Bouyer Th., 2009, Description de nouveaux Goodia Holland, 1893 (Lepidoptera, Saturniidae). vol 14 issue 1 pages 21–27","Description de nouveaux Goodia Holland, 1893 (Lepidoptera, Saturniidae).",2009,,,,
Darge Ph.,2847,"Darge Ph., 2002b, Contribution à l'entomofaune de Tanzanie: une nouvelle espèce de Gynanisa (Lepidoptera, Saturniidae). vol 71 issue 10 pages 387–389, pls 1–2","Contribution à l'entomofaune de Tanzanie: une nouvelle espèce de Gynanisa (Lepidoptera, Saturniidae).",2002,,,https://www.persee.fr/doc/linly_0366-1326_2002_num_71_10_13429,
Naumann S.,2848,"Naumann S., 2006, Notes on the group of Epiphora antinorii (Oberthür, 1880) with description of a new species (Lepidoptera: Saturniidae: Saturniinae; Attacini). vol 4 issue 2 pages 61–84","Notes on the group of Epiphora antinorii (Oberthür, 1880) with description of a new species (Lepidoptera: Saturniidae: Saturniinae; Attacini).",2006,,,,
Darge Ph.,2849,"Darge Ph., 2010a, Une nouvelle espèce du groupe de Micragone colettae Rougeot originaire du Congo Brazzaville (Lepidoptera, Saturniidae). vol 6 issue  pages 2–7, pls. A, D","Une nouvelle espèce du groupe de Micragone colettae Rougeot originaire du Congo Brazzaville (Lepidoptera, Saturniidae).",2010,,,,
Darge Ph.,2850,"Darge Ph., 2010b, Considérations sur les Micragone du groupe agathylla (Westwood, 1849) avec description d'espèces nouvelles (Lepidoptera, Saturniidae). vol 6 issue  pages 9–23, pls. B–D","Considérations sur les Micragone du groupe agathylla (Westwood, 1849) avec description d'espèces nouvelles (Lepidoptera, Saturniidae).",2010,,,,
Darge Ph.,2851,"Darge Ph., 2010c, Considérations sur le genre Antistathmoptera Tams, 1935 (Lepidoptera, Saturniidae). vol 6 issue  pages 25–32, pls E–F","Considérations sur le genre Antistathmoptera Tams, 1935 (Lepidoptera, Saturniidae).",2010,,,,
Rougeot P.-C.,2852,"Rougeot P.-C., 1959b, Sur une nouvelle forme de Micragone (Lépid. Attacidae). vol 28 issue 9 pages 280–281",Sur une nouvelle forme de Micragone (Lépid. Attacidae).,1959,,,https://www.persee.fr/doc/linly_0366-1326_1959_num_28_9_8097,
Bouyer Th.,2853,"Bouyer Th., 2008a, Description de nouveaux Saturniidae africains (Lepidoptera). vol 13 issue 1 pages 2–19",Description de nouveaux Saturniidae africains (Lepidoptera).,2008,,,,
Bouyer Th.,2854,"Bouyer Th., 2006a, Nouveaux Saturniidae de Madagascar et de Tanzanie (Lepidoptera). vol 11 issue 2 pages 12–18",Nouveaux Saturniidae de Madagascar et de Tanzanie (Lepidoptera).,2006,,,,
Sircoulomb G.,2855,"Sircoulomb G., 2009, Chiasmia gueyei n. sp., une nouvelle espèce afrotropicale (Lepidoptera, Geometridae). vol 14 issue 2 pages 54–58, pl. 1","Chiasmia gueyei n. sp., une nouvelle espèce afrotropicale (Lepidoptera, Geometridae).",2009,,,,
Schouten R. T. A.,2856,"Schouten R. T. A., 1988, Revision of the species of the genus Euchromius Guenée, 1845 (Lepidoptera, Pyralidae, Crambinae) occurring in the Afrotropical region. vol 244 issue  pages 1–64","Revision of the species of the genus Euchromius Guenée, 1845 (Lepidoptera, Pyralidae, Crambinae) occurring in the Afrotropical region.",1988,,,https://repository.naturalis.nl/pub/317676,
Pierre-Baltus C.,2857,"Pierre-Baltus C., 2005a, Un nouveau Zamarada du São Tomé, du groupe triangularis (Lepidoptera, Geometridae). vol 109 (2004) issue 5 pages 471–472","Un nouveau Zamarada du São Tomé, du groupe triangularis (Lepidoptera, Geometridae).",2005,,,https://www.persee.fr/doc/bsef_0037-928x_2004_num_109_5_16159,
Pierre-Baltus C.,2858,"Pierre-Baltus C., 2005b, Un nouveau Zamarada du Gabon, du groupe ""acosmeta"" (Lep. Geometridae). vol 110 issue 4–5 pages 412","Un nouveau Zamarada du Gabon, du groupe ""acosmeta"" (Lep. Geometridae).",2005,,,https://www.persee.fr/doc/bsef_0037-928x_2005_num_110_4_16259,
Pierre-Baltus C.,2859,"Pierre-Baltus C., 2006a, Un Zamarada nouveau du Gabon, sa place dans le groupe tortura (Lep., Geometridae). vol 111 issue 1 pages 127–128","Un Zamarada nouveau du Gabon, sa place dans le groupe tortura (Lep., Geometridae).",2006,,,https://www.persee.fr/doc/bsef_0037-928x_2006_num_111_1_16298,
Pierre-Baltus C.,2860,"Pierre-Baltus C., 2006b, Zamarada umbra, une curieuse nouvelle espèce du Gabon, aux caractéristiques génitales surprenantes (Lep. Geometridae). vol 111 issue 3 pages 343–344","Zamarada umbra, une curieuse nouvelle espèce du Gabon, aux caractéristiques génitales surprenantes (Lep. Geometridae).",2006,,,https://www.persee.fr/doc/bsef_0037-928x_2006_num_111_3_16335,
Pierre-Baltus C.,2862,"Pierre-Baltus C., 1985, Zamarada, groupe aurolineata: description d'une espèce nouvelle (Lepidoptera, Geometridae). vol 7 issue 1 pages 9–12","Zamarada, groupe aurolineata: description d'une espèce nouvelle (Lepidoptera, Geometridae).",1985,,,,
Pierre-Baltus C. & Pierre J.,2863,"Pierre-Baltus C. & Pierre J., 2000, Nouveaux Zamarada de la réserve de la Lopé, Gabon (Lepidoptera, Geometridae). vol 105 issue 4 pages 337–342","Nouveaux Zamarada de la réserve de la Lopé, Gabon (Lepidoptera, Geometridae).",2000,,,https://www.persee.fr/doc/bsef_0037-928x_2000_num_105_4_16681,
Koster J. C.,2864,"Koster J. C., 2010b, Order Lepidoptera, family Stathmopodidae. – In: A. van Harten (Ed.) Arthropod fauna of the UAE. vol 3 issue  pages 519–524","Order Lepidoptera, family Stathmopodidae. – In: A. van Harten (Ed.) Arthropod fauna of the UAE.",2010,,,,
Kasy F.,2865,"Kasy F., 1973, Beitrag zur Kenntnis der Familie Stathmopodidae Meyrick, 1913 (Lepidoptera, Gelechioidea). vol 116 issue 13 pages 227–299","Beitrag zur Kenntnis der Familie Stathmopodidae Meyrick, 1913 (Lepidoptera, Gelechioidea).",1973,,,https://www.biodiversitylibrary.org/page/28382963,
Adamski D.,2866,"Adamski D., 2010, Order Lepidoptera, family Coleophoridae, Subfamily Blastobasinae. – In: A. van Harten (Ed.) Arthropod Fauna of the UAE. vol 3 issue  pages 525–531","Order Lepidoptera, family Coleophoridae, Subfamily Blastobasinae. – In: A. van Harten (Ed.) Arthropod Fauna of the UAE.",2010,,,,
Koster J. C.,2867,"Koster J. C., 2010c, Order Lepidoptera, family Cosmopterigidae. – In: A. van Harten (Ed.) Arthropod fauna of the UAE. vol 3 issue  pages 532–551","Order Lepidoptera, family Cosmopterigidae. – In: A. van Harten (Ed.) Arthropod fauna of the UAE.",2010,,,,
Koster J. C. & Sinev S. Yu.,2868,"Koster J. C. & Sinev S. Yu., 2003, Momphidae, Batrachedridae, Stathmopodidae, Agonoxenidae, Cosmopterigidae, Chrysopeleiidae. – In: Huemer, P., Karsholt, O. & Lyneborg, L. (Eds.) Microlepidoptera of Europe. vol 5 issue  pages 1–397","Momphidae, Batrachedridae, Stathmopodidae, Agonoxenidae, Cosmopterigidae, Chrysopeleiidae. – In: Huemer, P., Karsholt, O. & Lyneborg, L. (Eds.) Microlepidoptera of Europe.",2003,,,,
Chrétien P.,2869,"Chrétien P., 1896, Description de Microlépidoptères nouveaux de France et d'Algérie. vol (2) 10 issue  pages 104–105",Description de Microlépidoptères nouveaux de France et d'Algérie.,1896,,,https://www.biodiversitylibrary.org/page/41981783,
Riedl T.,2870,"Riedl T., 1993b, Amneris flexiloquella gen. et sp. n. d'Espagne (Lepidoptera, Cosmopterigidae). vol 62 issue 1–4 pages 113–116","Amneris flexiloquella gen. et sp. n. d'Espagne (Lepidoptera, Cosmopterigidae).",1993,,,,
Kasy F.,2871,"Kasy F., 1968b, Ergebnisse der zoologischen Nubien-Expedition 1962. Teil XXXV Lepidoptera: Walshiidae. vol 72 issue  pages 497–525",Ergebnisse der zoologischen Nubien-Expedition 1962. Teil XXXV Lepidoptera: Walshiidae.,1968,,,https://www.zobodat.at/pdf/ANNA_72_0497-0525.pdf,
Kasy F.,2872,"Kasy F., 1975, Ein weiterer Beitrag zur Kenntnis der Walshiidae-Fauna von Südpersien (Lepidoptera). vol 79 issue  pages 237–244",Ein weiterer Beitrag zur Kenntnis der Walshiidae-Fauna von Südpersien (Lepidoptera).,1975,,,,
Kasy F.,2873,"Kasy F., 1974, Walshiidae aus der Umgebung von Bandar-Abbas, Südiran (Lepidopt.). vol 78 issue  pages 303–312","Walshiidae aus der Umgebung von Bandar-Abbas, Südiran (Lepidopt.).",1974,,,,
Riedl T.,2874,"Riedl T., 1993a, Cosmopterigidae and Chrysopeleiidae (Lepidoptera) from Saudi Arabia, and a concise catalogue of the species of the genus Proceleustis Meyrick. vol 13 issue  pages 144–151","Cosmopterigidae and Chrysopeleiidae (Lepidoptera) from Saudi Arabia, and a concise catalogue of the species of the genus Proceleustis Meyrick.",1993,,,,
