author,ID,citation,title,year,source,doi,link,remarks
Ihle S.,10055,"Ihle S., 2022, Präimaginalstadien und Biologie der afrikanischen Lasiocampide Gonometa titan Holland, 1893 (Lepidoptera, Lasiocampidae, Lasiocampinae). vol 53 issue 1–2 pages 236–246","Präimaginalstadien und Biologie der afrikanischen Lasiocampide Gonometa titan Holland, 1893 (Lepidoptera, Lasiocampidae, Lasiocampinae).",2022,,,,
Eitschberger U. & Giusti A.,10056,"Eitschberger U. & Giusti A., 2022, Vierter Beitrag zur Rufoclanis rosea auct.-Artengruppe: Der Typus von Triptogon rosea Druce, 1882 (Lepidoptera, Sphingidae). vol 53 issue 1–2 pages 283–293","Vierter Beitrag zur Rufoclanis rosea auct.-Artengruppe: Der Typus von Triptogon rosea Druce, 1882 (Lepidoptera, Sphingidae).",2022,,,,
Seizmair M.,10057,"Seizmair M., 2022c, Faunistic and taxonomic notes on eleven recently recorded species of Spilomelinae Guinée [sic], 1854 (Lepidoptera, Crambidae) from the Arabian Peninsula with an updated checklist. vol 2 issue 2 pages 21–30","Faunistic and taxonomic notes on eleven recently recorded species of Spilomelinae Guinée [sic], 1854 (Lepidoptera, Crambidae) from the Arabian Peninsula with an updated checklist.",2022,,,,
Aistleitner E.,10058,"Aistleitner E., 2022, Zur Schwärmerfauna (Cabo Verde) (Lepidoptera: Sphingidae). vol 43 issue 1 pages 44–49",Zur Schwärmerfauna (Cabo Verde) (Lepidoptera: Sphingidae).,2022,,,,
Puplesis R. K. & Diškus A.,10059,"Puplesis R. K. & Diškus A., 2003, Nepticuloidea ir Tischerioidea (Lepidoptera) pasaulio ir lietuvos faunoje. The Nepticuloidea & Tischerioidea (Lepidoptera) - a global review, with strategic regional revisions. vol  issue  pages 1–512","Nepticuloidea ir Tischerioidea (Lepidoptera) pasaulio ir lietuvos faunoje. The Nepticuloidea & Tischerioidea (Lepidoptera) - a global review, with strategic regional revisions.",2003,,,,
Davis D. R.,10060,"Davis D. R., 1989, Generic revision of the Opostegidae, with a synoptic catalogue of the world's species (Lepidoptera: Nepticuloidea). vol 478 issue  pages 1–97","Generic revision of the Opostegidae, with a synoptic catalogue of the world's species (Lepidoptera: Nepticuloidea).",1989,,,,
Arenberger E. & Aistleitner E.,10061,"Arenberger E. & Aistleitner E., 2012, Die Pterophoridae der Kapverdischen Inseln, 2. Beitrag, mit der Beschreibung einer neuen Art der Gattung Stenoptilia Hübner (Lepidoptera: Pterophoridae). vol 61 issue 1–2 pages 23–25","Die Pterophoridae der Kapverdischen Inseln, 2. Beitrag, mit der Beschreibung einer neuen Art der Gattung Stenoptilia Hübner (Lepidoptera: Pterophoridae).",2012,,,https://www.zobodat.at/pdf/NachBlBayEnt_061_0023-0025.pdf,
Agassiz D. J. L.,10062,"Agassiz D. J. L., 2022, The tribe Cybalomiini (Lepidoptera: Pyraloidea, Crambidae, Glaphyrinae) of sub-Saharan Africa. vol 5174 issue 2 pages 101–156","The tribe Cybalomiini (Lepidoptera: Pyraloidea, Crambidae, Glaphyrinae) of sub-Saharan Africa.",2022,,,,
Turner A. J.,10063,"Turner A. J., 1926, Studies in Australian Lepidoptera. vol 50 issue  pages 120–155",Studies in Australian Lepidoptera.,1926,,,https://www.biodiversitylibrary.org/page/41571863,
Sattler K.,10064,"Sattler K., 1970, Bemerkungen zur Microlepidopterenfauna von Karachi (Pakistan). vol 21 issue 4 pages 99–102",Bemerkungen zur Microlepidopterenfauna von Karachi (Pakistan).,1970,,,https://www.zobodat.at/pdf/ZAOE_21_0099-0102.pdf,
"Almeida J. D., Motta I. O., Vidal L. A., Bilio J. F., Pujol-Luz J. R. & Freire E. V.",10065,"Almeida J. D., Motta I. O., Vidal L. A., Bilio J. F., Pujol-Luz J. R. & Freire E. V., 2020, Caracterização morfológica dos instares larvais e das genitálias masculina e feminina do bicho-mineiro do cafeeiro, Leucoptera coffeella (Guérin-Mèneville & Perrottet) (Lepidoptera: Lyonetiidae). vol 368 issue  pages 1–26","Caracterização morfológica dos instares larvais e das genitálias masculina e feminina do bicho-mineiro do cafeeiro, Leucoptera coffeella (Guérin-Mèneville & Perrottet) (Lepidoptera: Lyonetiidae).",2020,,,,
Talbot G.,10066,"Talbot G., 1932c, Lepidoptera from British Somaliland. vol 4 issue 3 pages 182–188",Lepidoptera from British Somaliland.,1932,,,,
"Delabye S., Gaona F. P., Potocký P., Foxcroft L. C., Halamová P., Hejda M., MacFadyen S., Pyšková K., Sedláček O., Staňková M., Storch D., Pyšek P. & Tropek R.",10067,"Delabye S., Gaona F. P., Potocký P., Foxcroft L. C., Halamová P., Hejda M., MacFadyen S., Pyšková K., Sedláček O., Staňková M., Storch D., Pyšek P. & Tropek R., 2022, Thirteen moth species (Lepidoptera, Erebidae, Noctuidae) newly recorded in South Africa, with comments on their distribution. vol 10 issue  pages 1–40","Thirteen moth species (Lepidoptera, Erebidae, Noctuidae) newly recorded in South Africa, with comments on their distribution.",2022,,,https://bdj.pensoft.net/article/89729/,
Basquin P. & Faravel G.,10069,"Basquin P. & Faravel G., 2022, Les Saturnidés du Gabon. Catalogue illustré des Saturniidae du Gabon. Tome 2: Buneini, Attacini. vol  issue  pages 1–120","Les Saturnidés du Gabon. Catalogue illustré des Saturniidae du Gabon. Tome 2: Buneini, Attacini.",2022,,,,
Basquin P. & Faravel G.,10070,"Basquin P. & Faravel G., 2021, Les Saturnidés du Gabon. Catalogue illustré des Daturniidae du Gabon. Tome 1: Micragonini, Urotini. vol  issue  pages 1–94","Les Saturnidés du Gabon. Catalogue illustré des Daturniidae du Gabon. Tome 1: Micragonini, Urotini.",2021,,,,
Karisch T.,10071,"Karisch T., 2022b, First records of two non-indigenous tineid species from St Helena Island (Tineioidia [sic]: Tineidae). vol 33 issue 1 pages 68–71",First records of two non-indigenous tineid species from St Helena Island (Tineioidia [sic]: Tineidae).,2022,,,,
