taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S160850030,,Acrocarpus fraxinifolius Arn.,has host,7506,
S160850040,,Gliricidia maculata (Kunth) Steud.,has host,8440,
S160850040,,Theobroma cacao L.,has host,3206,
S160850050,,Delonix regia (Bojes ex Hook) Raf.,has host,4069,
S160870020,,Acacia caffra (Thunb.) Willd.,has host,4347,
S160870020,,Acacia decurrens Wild.,has host,7506,
S160870020,,Acacia horrida (L.) Willd.,has host,4347,
S160870020,,Acacia mearnsii De Wild.,has host,5530,
S160870020,,Acacia mearnsii De Wild.,has host,6968,
S160870020,,Acacia melanoxylon R. Br.,has host,4347,
S160870020,,Acacia mollissima Willd.,has host,4347,
S160870020,,Acacia sp. ,has host,7506,
S160870020,,Casuarina equisetifolia L.,has host,6968,
S160870020,,Coffea arabica L.,has host,2909,
S160870020,,Coffea sp. ,has host,3842,
S160870020,,Combretum erythrophyllum (Burch.) Sond.,has host,4347,
S160870020,,Cupressus sp. ,has host,7506,
S160870020,,Delonix regia (Bojes ex Hook) Raf.,has host,5530,
S160870020,,Erianthemum dregei (Eckl. & Zeyh.) Tiegh.,has host,4347,
S160870020,,Eucalyptus bridgesiana F. Muell. ex R.T. Baker,has host,5530,
S160870020,,Eucalyptus bridgesiana F. Muell. ex R.T. Baker,has host,6968,
S160870020,,Eucalyptus camaldulensis Dehnh.,has host,5530,
S160870020,,Eucalyptus camaldulensis Dehnh.,has host,6968,
S160870020,,Eucalyptus saligna Sm.,has host,5530,
S160870020,,Eucalyptus sp. ,has host,3016,
S160870020,,Guiera senegalensis J. F. Gmelin,has host,5104,
S160870020,,Hesperocyparis lusitanica Miller,has host,5530,
S160870020,,Hesperocyparis lusitanica Miller,has host,6968,
S160870020,,Leucaena leucocephala (Lam.) de Wit,has host,2909,
S160870020,,Poinciana regia Bojer ex Hook.,has host,5105,
S160870020,,Psidium guajava L.,has host,3842,
S160870020,,Quisqualis sp. ,has host,7506,
S160870020,,Ricinus sp. ,has host,3842,
S160870020,,Sericopimpla sericata Kriechbaumer,has parasite,6968,
S160870020,,Theobroma cacao L.,has host,5068,
S160870020,,Undefined polyphagous ,has host,3842,
S160870020,,Vachellia sp. ,has host,10384,
S160870020,,Vachellia tortilis (Forssk.) Galasso & Banfi,has host,4358,
S160900030,,Casuarina equisetifolia L.,has host,3844,
S160900050,,Acacia dealbata Link.,has host,3844,
S160900050,,Amygdalus persica L.,has host,21,
S160900050,,"Brachymeria madagascariensis (Kieffer, 1905)",has parasite,9957,
S160900050,,"Cyanodolius metallicus Seyrig, 1952",has parasite,9964,
S160900050,,Dombeya sp. ,has host,21,
S160900050,,Eucalyptus sp. ,has host,3844,
S160900050,,Exorista sorbilans Wiedeman,has parasite,1211,
S160900050,,Grevillea robusta Cunn.,has host,3844,
S160900050,,Hesperocyparis lusitanica Miller,has host,3844,
S160900050,,Hibiscus tiliaceus L.,has host,3844,
S160900050,,"Pimpla madecassa (Saussure, 1890)",has parasite,1211,
S160900050,,Pinus patula Schiede & Deppe,has host,3844,
S160900050,,Psidium pomiferum L.,has host,3844,
S160900050,,Psidium sp. ,has host,21,
S160910010,,Bauhinia sp. ,has host,3207,
S160910010,,Geranium sp. ,has host,3207,
S160920010,,Acacia mearnsii De Wild.,has host,7506,
S160920010,,Acacia sp. ,has host,1934,
S160920010,,Barringtonia asiatica (L.) Kurz,has host,7506,
S160920010,,Bauhinia sp. ,has host,7506,
S160920010,,Cassia javanica L.,has host,5530,
S160920010,,Cassia javanica L.,has host,7506,
S160920010,,Casuarina equisetifolia L.,has host,21,
S160920010,,Citrus sp. ,has host,21,
S160920010,,Cola sp. ,has host,4591,
S160920010,,Combretum sp. ,has host,7506,
S160920010,,Crotalaria sp. ,has host,7506,
S160920010,,Cupressus sempervirens L.,has host,5530,
S160920010,,Cupressus sp. ,has host,7506,
S160920010,,Duranta sp. ,has host,7506,
S160920010,,Gossypium sp. ,has host,21,
S160920010,,Guiera senegalensis J. F. Gmelin,has host,21,
S160920010,,Hesperocyparis lusitanica Miller,has host,5530,
S160920010,,Hibiscus sp. ,has host,7506,
S160920010,,Lagerstroemia sp. ,has host,7506,
S160920010,,Macrocarpa sp. ,has host,1934,
S160920010,,Mangifera indica L.,has host,21,
S160920010,,Ozoroa mucronata (Bernh.) R. Fern. & A. Fern.,has host,7506,
S160920010,,Protea caffra Meisn.,has host,2025,
S160920010,,Quisqualis sp. ,has host,7506,
S160920010,,Schinus molle L.,has host,1934,
S160920010,,Shirakiopsis elliptica (Hochst.) Esser,has host,5530,
S160920010,,Shirakiopsis elliptica (Hochst.) Esser,has host,7506,
S160920010,,Terminalia sp. ,has host,7506,
S160920010,,Theobroma cacao L.,has host,5068,
S160920020,,Acacia sp. ,has host,21,
S160920020,,Cassia sp. ,has host,21,
S160920020,,Citrus sp. ,has host,21,
S160920020,,Eucalyptus sp. ,has host,21,
S160920020,,Ligustrum sp. ,has host,21,
S160920020,,Macrocarpa sp. ,has host,21,
S160920020,,Quercus sp. ,has host,21,
S160920020,,Rosa sp. ,has host,21,
S160920020,,Schinus molle L.,has host,21,
S160920060,,Acacia mearnsii De Wild.,has host,5530,
S160920060,,Acacia mollissima Willd.,has host,4069,
S160920060,,Casuarina equisetifolia L.,has host,21,
S160920060,,Citrus sp. ,has host,3843,
S160920060,,Coffea canephora Pierre ex Froehner,has host,21,
S160920060,,Coffea sp. ,has host,3843,
S160920060,,Cola gigantea A. Chev.,has host,21,
S160920060,,Cupressus sp. ,has host,7506,
S160920060,,Eucalyptus sp. ,has host,4069,
S160920060,,Hesperocyparis lusitanica Miller,has host,4069,
S160920060,,Persea americana Mill.,has host,21,
S160920060,,Schinus molle L.,has host,5530,
S160920060,,Theobroma cacao L.,has host,5068,
S160940050,,Undefined Grasses ,has host,4361,
S160960010,,Musa sp. ,has host,3223,
S161110010,,Acacia dealbata Link.,has host,1934,
S161110010,,Acacia mearnsii De Wild.,has host,5530,
S161110010,,Acacia mollissima Willd.,has host,4069,
S161110010,,Acacia sp. ,has host,5530,
S161110010,,Eucalyptus camaldulensis Dehnh.,has host,5530,
S161110010,,Pinus radiata D. Don.,has host,4069,
S161110010,,Quercus pedunculiflora C. Koch,has host,1934,
S161110030,,Acacia dealbata Link.,has host,3226,
S161110030,,Delonix regia (Bojes ex Hook) Raf.,has host,3226,
S161220010,,Helichrysum parviflorum Klatt.,has host,1934,
S161250010,,Carex sp. ,has host,164,
S161250010,,Undefined Grasses ,has host,164,
S161270020,,Coffea sp. ,has host,7506,
S161270020,,Undefined polyphagous ,has host,10384,
S161300020,,Undefined Coccoidea ,has host,3223,
S161310010,,Brachylaena discolor DC.,has host,1934,
S161350020,,Gerbera jamesonii Bolus ex Hook. f.,has host,7506,
S161350040,,Desmodium incanum DC.,has host,1934,
S161380010,,Cassia siamea Britt.,has host,4364,
S161380010,,Casuarina sp. ,has host,3206,
S161380010,,Cupressus sp. ,has host,4364,
S161380010,,Theobroma cacao L.,has host,4364,
S161380020,,Acacia sp. ,has host,1945,
S161380020,,Citrus sp. ,has host,2909,
S161380020,,Coffea arabica L.,has host,2909,
S161380020,,Coffea sp. ,has host,7506,
S161380020,,Cupressus macrocarpa Hartw. ex Gordon,has host,1934,
S161380020,,Leucaena leucocephala (Lam.) de Wit,has host,2909,
S161380020,,Ligustrum vulgare L.,has host,1934,
S161380020,,Stigmaphyllon ciliatum ,has host,1934,
S168240010,,Undefined Decaying animal matter ,has host,3577,
S168240010,,Undefined Decaying vegetable matter ,has host,3577,
S168240010,,Undefined coprophagous ,has host,3127,
S168240025,,Undefined coprophagous ,has host,9309,
S168240040,,"Apanteles minatchy Rousse & Gupta, 2014",has parasite,7498,
S168240040,,Undefined Decaying animal matter ,has host,7498,
S170130010,,Undefined Decaying vegetable matter ,has host,36,
S170165030,,Asparagus sp. ,has host,1750,
S170165100,,Asparagus suaveolens Burch.,has host,10384,
S170165110,,Asparagus sp. ,has host,10384,
S170535030,,Undefined Lichens ,has host,375,
S170590010,,Undefined Decaying animal matter ,has host,1067,
S170680010,,Acacia edgworthii ,has host,403,
S170680010,,Solanum sp. ,has host,403,
S170680020,,Acacia drepanolobium Harms ex Y. Sjöstedt,has host,3251,
S170680030,,Caesalpinia sp. ,has host,303,
S170680040,,Allamanda sp. ,has host,15,
S170680040,,Caesalpinia sp. ,has host,7,
S170680040,,Coffea sp. ,has host,7,
S170680040,,Cognauxia sp. ,has host,7,
S170680040,,Dialium sp. ,has host,7,
S170680040,,Gossypium sp. ,has host,7,
S170680040,,Landolphia sp. ,has host,7,
S170680040,,Maesopsis sp. ,has host,7,
S170680040,,Monodora sp. ,has host,7,
S170680040,,Pithecollobium sp. ,has host,7,
S170680040,,Pseudospondias sp. ,has host,7,
S170680040,,Solanum sp. ,has host,7,
S170680040,,Tephrosia sp. ,has host,7,
S170680040,,Vachellia karroo (Hayne) Banfi & Galasso,has host,5562,
S170680050,,Gossypium sp. ,has host,230,
S170680050,,Gossypium sp. ,has host,387,
S170705030,,Undefined Decaying animal matter ,has host,7499,
S170705030,,Undefined Decaying vegetable matter ,has host,7499,
S171540010,,Undefined Fungi ,has host,7,
S172020010,,"Undefined Stored products (grain, rice...) ",has host,47,
S172020010,,"Venturia canescens (Gravenhorst, 1829)",has parasite,6058,
S172110010,,Undefined Nest of Isoptera ,has host,4466,
S172140025,,Undefined Decaying animal matter ,has host,5001,
S172140100,,Undefined Decaying animal matter ,has host,263,
S172162030,,Undefined Decaying animal matter ,has host,2053,
S172210050,,Undefined Decaying animal matter ,has host,4564,
S172210140,,Undefined Decaying animal matter ,has host,375,
